,date,fiz_long,fiz_short,yur_long,yur_short,oi
115,2015-01-13,16933,20924,12931,8940,59728
116,2015-01-20,28110,24675,3853,7288,63926
117,2015-01-27,27073,27974,7678,6777,69502
118,2015-02-03,30568,18914,3953,15607,69042
119,2015-02-10,43163,22561,6747,27349,99820
120,2015-02-17,60168,31263,5314,34219,130964
121,2015-02-24,75141,33528,5653,47266,161588
122,2015-03-03,76110,32089,9135,53156,170490
123,2015-03-10,81585,29905,7589,59269,178348
124,2015-03-17,68589,33269,18068,53388,173314
125,2015-03-24,74605,22627,17364,69342,183938
126,2015-03-31,65306,21544,8522,52284,147656
127,2015-04-07,65874,17743,11889,60020,155526
128,2015-04-14,27359,14543,17259,30075,89236
129,2015-04-21,48920,8723,7963,48160,113766
130,2015-04-28,43962,16693,6440,33709,100804
131,2015-05-05,37037,18296,10418,29159,94910
132,2015-05-12,39942,16621,12359,35680,104602
133,2015-05-19,49254,10445,8281,47090,115070
134,2015-05-26,46952,10870,11943,48025,117790
135,2015-06-02,12879,23767,38044,27156,101846
136,2015-06-09,15008,20757,16893,11144,63802
137,2015-06-16,12955,13434,9400,8921,44710
138,2015-06-23,12546,16062,15499,11983,56090
139,2015-06-30,15873,13454,8191,10610,48128
140,2015-07-07,71482,15494,26788,82776,196540
141,2015-07-14,38183,21752,27878,44309,132122
142,2015-07-21,60064,13590,17211,63685,154550
143,2015-07-28,49516,20350,30502,59668,160036
144,2015-08-04,57711,12480,52522,97753,220466
145,2015-08-11,69177,24435,65664,110406,269682
146,2015-08-18,67623,13257,53756,108122,242758
147,2015-08-25,66516,26259,123401,163658,379834
148,2015-09-01,68902,34188,56497,91211,250798
149,2015-09-08,76207,30470,27112,72849,206638
150,2015-09-15,116629,15499,55962,157092,345182
151,2015-09-22,108472,22173,48717,135016,314378
152,2015-09-29,120151,24090,44448,140509,329198
153,2015-10-06,96720,61282,46006,81444,285452
154,2015-10-13,149587,14854,79095,213828,457364
155,2015-10-20,189820,10983,100987,279824,581614
156,2015-10-27,194564,17876,106944,283632,603016
157,2015-11-03,127760,62600,82956,148116,421432
158,2015-11-10,171865,14555,51753,209063,447236
159,2015-11-17,207407,15398,111004,303013,636822
160,2015-11-24,185064,28868,80753,236949,531634
161,2015-12-01,189873,18751,79870,250992,539486
162,2015-12-08,230931,34351,102286,298866,666434
163,2015-12-15,198275,45161,161158,314272,718866
164,2015-12-22,228810,31427,98338,295721,654296
165,2015-12-29,187264,41409,87264,233119,549056
166,2016-01-05,195239,19913,82424,257750,555326
167,2016-01-12,193457,44038,117734,267153,622382
168,2016-01-19,230588,85014,374942,520516,1211060
169,2016-01-26,179731,49997,434164,563898,1227790
170,2016-02-02,152212,44730,166475,273957,637374
171,2016-02-09,168918,35419,150561,284060,638958
172,2016-02-16,182750,58943,207058,330865,779616
173,2016-03-01,183252,48010,118177,253419,602858
174,2016-03-15,146223,118465,226214,253972,744874
175,2016-03-22,127479,123844,293979,297614,842916
176,2016-03-29,185658,75193,152580,263045,676476
177,2016-04-05,180230,60188,126028,246070,612516
178,2016-04-12,163865,144514,396647,415998,1121024
179,2016-04-19,166956,168371,479218,477803,1292348
180,2016-04-26,159618,176343,277826,261101,874888
181,2016-05-10,133003,102187,190329,221145,646664
182,2016-05-17,140462,139542,157076,157996,595076
183,2016-05-24,152032,136871,87375,102536,478814
184,2016-05-31,146286,146246,117456,117496,527484
185,2016-06-07,132497,135961,85618,82154,436230
186,2016-06-14,195242,74702,24929,145469,440342
187,2016-06-21,115341,125181,94085,84245,418852
188,2016-06-28,142660,59280,49928,133308,385176
189,2016-07-05,194442,63795,35574,166221,460032
190,2016-07-12,150600,94407,105498,161691,512196
191,2016-07-19,150816,80159,46230,116887,394092
192,2016-07-26,241950,67655,131145,305440,746190
193,2016-08-02,254000,58884,102475,297591,712950
194,2016-08-09,103545,174400,172429,101574,551948
195,2016-08-16,114522,236244,240137,118415,709318
196,2016-08-23,118391,226916,159238,50713,555258
197,2016-08-30,179715,138088,59583,101210,478596
198,2016-09-06,255314,92189,30089,193214,570806
199,2016-09-13,210342,97886,42106,154562,504896
200,2016-09-20,287255,88758,35503,234000,645516
201,2016-09-27,294796,62828,60059,292027,709710
202,2016-10-04,133121,259045,197903,71979,662048
203,2016-10-11,142679,230335,222544,134888,730446
204,2016-10-18,152761,209937,239454,182278,784430
205,2016-10-25,193961,166971,106334,133324,600590
206,2016-11-01,228016,104774,44918,168160,545868
207,2016-11-08,352843,72298,91720,372265,889126
208,2016-11-15,323043,95516,78293,305820,802672
209,2016-11-22,220687,137823,79479,162343,600332
